95.130.14.2	3129
177.36.15.17	8081
62.4.54.158	53102
77.70.115.104	8080
187.60.34.234	53597
185.188.218.10	60928
185.128.104.129	8080
103.248.219.34	61283
195.138.83.218	53281
185.158.127.9	53281
200.180.112.2	3128
115.85.65.146	39736
185.128.104.89	8080
181.196.254.202	53281
1.215.70.130	44072
181.129.183.19	53281
185.128.104.33	8080
178.252.166.122	32769
134.236.255.6	53995
103.25.167.210	36613
181.211.245.74	52223
186.159.1.97	53823
185.128.104.125	8080
185.128.104.73	8080
195.191.183.169	47238
51.75.153.249	8080
109.69.1.16	34055
111.125.143.184	43244
62.148.148.233	32349
159.192.97.80	43278
